"","Date","Precipitation"
"1",1990-01-01,1.08
"2",1990-02-01,1.42
"3",1990-03-01,0.98
"4",1990-04-01,0.56
"5",1990-05-01,0.18
"6",1990-06-01,0.21
"7",1990-07-01,2.83
"8",1990-08-01,4.44
"9",1990-09-01,1.74
"10",1990-10-01,0.19
"11",1990-11-01,0.92
"12",1990-12-01,2.95
"13",1991-01-01,1.28
"14",1991-02-01,0.89
"15",1991-03-01,3.12
"16",1991-04-01,0
"17",1991-05-01,0.04
"18",1991-06-01,0.09
"19",1991-07-01,0.78
"20",1991-08-01,1.25
"21",1991-09-01,0.74
"22",1991-10-01,0.92
"23",1991-11-01,1.49
"24",1991-12-01,2.21
"25",1992-01-01,1.78
"26",1992-02-01,2.7
"27",1992-03-01,3.43
"28",1992-04-01,0.56
"29",1992-05-01,1.38
"30",1992-06-01,0.34
"31",1992-07-01,1.93
"32",1992-08-01,3.58
"33",1992-09-01,0.45
"34",1992-10-01,0.49
"35",1992-11-01,0.09
"36",1992-12-01,4.35
"37",1993-01-01,5.56
"38",1993-02-01,2.46
"39",1993-03-01,1.47
"40",1993-04-01,0
"41",1993-05-01,0.48
"42",1993-06-01,0.01
"43",1993-07-01,0.57
"44",1993-08-01,4
"45",1993-09-01,0.37
"46",1993-10-01,0.8
"47",1993-11-01,2.72
"48",1993-12-01,0.28
"49",1994-01-01,0.13
"50",1994-02-01,1.71
"51",1994-03-01,1.44
"52",1994-04-01,0.43
"53",1994-05-01,0.87
"54",1994-06-01,0.07
"55",1994-07-01,0.67
"56",1994-08-01,1.06
"57",1994-09-01,1.8
"58",1994-10-01,1.27
"59",1994-11-01,1.44
"60",1994-12-01,2.89
"61",1995-01-01,2.36
"62",1995-02-01,1.62
"63",1995-03-01,1.11
"64",1995-04-01,0.43
"65",1995-05-01,0.19
"66",1995-06-01,0.01
"67",1995-07-01,0.3
"68",1995-08-01,2.64
"69",1995-09-01,1.43
"70",1995-10-01,0.01
"71",1995-11-01,0.76
"72",1995-12-01,0.14
"73",1996-01-01,0.11
"74",1996-02-01,1.77
"75",1996-03-01,0.39
"76",1996-04-01,0.02
"77",1996-05-01,0.02
"78",1996-06-01,0.09
"79",1996-07-01,2.21
"80",1996-08-01,1.52
"81",1996-09-01,2.33
"82",1996-10-01,0.52
"83",1996-11-01,0.6
"84",1996-12-01,0.01
"85",1997-01-01,1.46
"86",1997-02-01,0.93
"87",1997-03-01,0.22
"88",1997-04-01,0.34
"89",1997-05-01,0.43
"90",1997-06-01,0.11
"91",1997-07-01,0.35
"92",1997-08-01,2.41
"93",1997-09-01,0.95
"94",1997-10-01,0.62
"95",1997-11-01,0.67
"96",1997-12-01,2.3
"97",1998-01-01,0.32
"98",1998-02-01,4.7
"99",1998-03-01,2.46
"100",1998-04-01,0.47
"101",1998-05-01,0.02
"102",1998-06-01,0.02
"103",1998-07-01,1.53
"104",1998-08-01,2.02
"105",1998-09-01,1.25
"106",1998-10-01,0.27
"107",1998-11-01,0.71
"108",1998-12-01,0.48
"109",1999-01-01,0.04
"110",1999-02-01,0.14
"111",1999-03-01,0.24
"112",1999-04-01,1.58
"113",1999-05-01,0
"114",1999-06-01,0.07
"115",1999-07-01,3.3
"116",1999-08-01,2.03
"117",1999-09-01,1.77
"118",1999-10-01,0.01
"119",1999-11-01,0
"120",1999-12-01,0
"121",2000-01-01,0.16
"122",2000-02-01,0.21
"123",2000-03-01,1.87
"124",2000-04-01,0.01
"125",2000-05-01,0
"126",2000-06-01,0.65
"127",2000-07-01,0.34
"128",2000-08-01,1.8
"129",2000-09-01,0.37
"130",2000-10-01,3.72
"131",2000-11-01,1.21
"132",2000-12-01,0.04
"133",2001-01-01,2.16
"134",2001-02-01,0.97
"135",2001-03-01,1.02
"136",2001-04-01,1.66
"137",2001-05-01,0.21
"138",2001-06-01,0.17
"139",2001-07-01,1.72
"140",2001-08-01,1.82
"141",2001-09-01,0.14
"142",2001-10-01,0.45
"143",2001-11-01,0.11
"144",2001-12-01,1.28
"145",2002-01-01,0.14
"146",2002-02-01,0.01
"147",2002-03-01,0.24
"148",2002-04-01,0.11
"149",2002-05-01,0
"150",2002-06-01,0
"151",2002-07-01,1.03
"152",2002-08-01,0.81
"153",2002-09-01,1.66
"154",2002-10-01,0.24
"155",2002-11-01,0.64
"156",2002-12-01,0.83
"157",2003-01-01,0.17
"158",2003-02-01,2.62
"159",2003-03-01,0.73
"160",2003-04-01,0.26
"161",2003-05-01,0.1
"162",2003-06-01,0.01
"163",2003-07-01,1.16
"164",2003-08-01,1.55
"165",2003-09-01,0.87
"166",2003-10-01,0.16
"167",2003-11-01,0.83
"168",2003-12-01,0.47
"169",2004-01-01,1.16
"170",2004-02-01,0.89
"171",2004-03-01,1.32
"172",2004-04-01,0.9
"173",2004-05-01,0
"174",2004-06-01,0.02
"175",2004-07-01,1.04
"176",2004-08-01,1.57
"177",2004-09-01,1.01
"178",2004-10-01,1.02
"179",2004-11-01,0.58
"180",2004-12-01,1.75
"181",2005-01-01,2.53
"182",2005-02-01,3.47
"183",2005-03-01,0.81
"184",2005-04-01,0.23
"185",2005-05-01,0.35
"186",2005-06-01,0.07
"187",2005-07-01,0.9
"188",2005-08-01,2.53
"189",2005-09-01,0.34
"190",2005-10-01,0.28
"191",2005-11-01,0
"192",2005-12-01,0.02
"193",2006-01-01,0.01
"194",2006-02-01,0.01
"195",2006-03-01,2.21
"196",2006-04-01,0.03
"197",2006-05-01,0.03
"198",2006-06-01,0.24
"199",2006-07-01,3.52
"200",2006-08-01,1.87
"201",2006-09-01,1.46
"202",2006-10-01,0.53
"203",2006-11-01,0.01
"204",2006-12-01,0.46
"205",2007-01-01,0.86
"206",2007-02-01,0.61
"207",2007-03-01,1.1
"208",2007-04-01,0.26
"209",2007-05-01,0.07
"210",2007-06-01,0.05
"211",2007-07-01,1.91
"212",2007-08-01,1.53
"213",2007-09-01,0.91
"214",2007-10-01,0.07
"215",2007-11-01,0.53
"216",2007-12-01,2.61
"217",2008-01-01,2.25
"218",2008-02-01,1.03
"219",2008-03-01,0.05
"220",2008-04-01,0
"221",2008-05-01,0.78
"222",2008-06-01,0.11
"223",2008-07-01,2.55
"224",2008-08-01,2
"225",2008-09-01,0.42
"226",2008-10-01,0.08
"227",2008-11-01,0.85
"228",2008-12-01,1.5
"229",2009-01-01,0.68
"230",2009-02-01,1.15
"231",2009-03-01,0.07
"232",2009-04-01,0.29
"233",2009-05-01,0.27
"234",2009-06-01,0.07
"235",2009-07-01,1.54
"236",2009-08-01,0.58
"237",2009-09-01,0.75
"238",2009-10-01,0.04
"239",2009-11-01,0.12
"240",2009-12-01,0.85
"241",2010-01-01,4.07
"242",2010-02-01,1.57
"243",2010-03-01,0.99
"244",2010-04-01,0.13
"245",2010-05-01,0
"246",2010-06-01,0.01
"247",2010-07-01,1.77
"248",2010-08-01,1.75
"249",2010-09-01,0.61
"250",2010-10-01,0.9
"251",2010-11-01,0.06
"252",2010-12-01,1.39
"253",2011-01-01,0.01
"254",2011-02-01,0.69
"255",2011-03-01,0.2
"256",2011-04-01,0.5
"257",2011-05-01,0.18
"258",2011-06-01,0.01
"259",2011-07-01,1.32
"260",2011-08-01,1.31
"261",2011-09-01,1.09
"262",2011-10-01,0.22
"263",2011-11-01,0.94
"264",2011-12-01,2.13
"265",2012-01-01,0.39
"266",2012-02-01,0.39
"267",2012-03-01,0.71
"268",2012-04-01,0.17
"269",2012-05-01,0.05
"270",2012-06-01,0.1
"271",2012-07-01,1.98
"272",2012-08-01,2.7
"273",2012-09-01,0.81
"274",2012-10-01,0.02
"275",2012-11-01,0.2
"276",2012-12-01,1.78
"277",2013-01-01,1.51
"278",2013-02-01,0.67
"279",2013-03-01,0.92
"280",2013-04-01,0.17
"281",2013-05-01,0
"282",2013-06-01,0.02
"283",2013-07-01,2.55
"284",2013-08-01,1.09
"285",2013-09-01,1.05
"286",2013-10-01,0.1
"287",2013-11-01,2.22
"288",2013-12-01,0.51
"289",2014-01-01,0
"290",2014-02-01,0
"291",2014-03-01,1.36
"292",2014-04-01,0.05
"293",2014-05-01,0
"294",2014-06-01,0
"295",2014-07-01,1.19
"296",2014-08-01,2.4
"297",2014-09-01,3.32
"298",2014-10-01,1.15
"299",2014-11-01,0
"300",2014-12-01,1.66
"301",2015-01-01,2.25
"302",2015-02-01,0.33
"303",2015-03-01,0.61
"304",2015-04-01,0.39
"305",2015-05-01,0.95
"306",2015-06-01,0.53
"307",2015-07-01,1.37
"308",2015-08-01,2.04
"309",2015-09-01,2.56
"310",2015-10-01,1.84
"311",2015-11-01,0.71
"312",2015-12-01,0.45
"313",2016-01-01,1.83
"314",2016-02-01,0.23
"315",2016-03-01,0.04
"316",2016-04-01,0.65
"317",2016-05-01,0.16
"318",2016-06-01,0.55
"319",2016-07-01,0.81
"320",2016-08-01,1.97
"321",2016-09-01,1.08
"322",2016-10-01,0.25
"323",2016-11-01,0.99
"324",2016-12-01,1.65
"325",2017-01-01,1.68
"326",2017-02-01,0.66
"327",2017-03-01,0.2
"328",2017-04-01,0.01
"329",2017-05-01,0.18
"330",2017-06-01,0.04
"331",2017-07-01,3.12
"332",2017-08-01,1.67
"333",2017-09-01,0.21
"334",2017-10-01,0
"335",2017-11-01,0.01
"336",2017-12-01,0.32
"337",2018-01-01,0.47
"338",2018-02-01,1.4
"339",2018-03-01,0.05
"340",2018-04-01,0
"341",2018-05-01,0.04
"342",2018-06-01,0.53
"343",2018-07-01,2.41
"344",2018-08-01,1.88
"345",2018-09-01,1.58
"346",2018-10-01,2.82
"347",2018-11-01,0.41
"348",2018-12-01,0.84
"349",2019-01-01,1.22
"350",2019-02-01,3.51
"351",2019-03-01,0.72
"352",2019-04-01,0.15
"353",2019-05-01,0.17
"354",2019-06-01,0
"355",2019-07-01,1.03
"356",2019-08-01,0.58
"357",2019-09-01,1.94
"358",2019-10-01,0.01
"359",2019-11-01,3.7
"360",2019-12-01,2.37
"361",2020-01-01,0.5
"362",2020-02-01,1.08
"363",2020-03-01,1.65
"364",2020-04-01,0.03
"365",2020-05-01,0.04
"366",2020-06-01,0.01
"367",2020-07-01,0.35
"368",2020-08-01,0.55
"369",2020-09-01,0.02
"370",2020-10-01,0.02
"371",2020-11-01,0.25
"372",2020-12-01,0.46
"373",2021-01-01,1.38
"374",2021-02-01,0.03
"375",2021-03-01,0.4
"376",2021-04-01,0.07
"377",2021-05-01,0
"378",2021-06-01,0.08
"379",2021-07-01,5.27
"380",2021-08-01,2.49
"381",2021-09-01,1.71
"382",2021-10-01,0.26
"383",2021-11-01,0.02
"384",2021-12-01,1.92
"385",2022-01-01,0.64
"386",2022-02-01,0.47
"387",2022-03-01,0.41
"388",2022-04-01,0
"389",2022-05-01,0
"390",2022-06-01,0.65
"391",2022-07-01,1.35
"392",2022-08-01,3.29
"393",2022-09-01,1.12
"394",2022-10-01,0.92
"395",2022-11-01,0.25
"396",2022-12-01,2.86
"397",2023-01-01,1.95
"398",2023-02-01,1.35
"399",2023-03-01,1.15
"400",2023-04-01,0
"401",2023-05-01,0.28
"402",2023-06-01,0
"403",2023-07-01,0.42
"404",2023-08-01,1.12
"405",2023-09-01,0.94
"406",2023-10-01,0.08
"407",2023-11-01,0.68
"408",2023-12-01,1.66
"409",2024-01-01,1.65
"410",2024-02-01,2.31
"411",2024-03-01,1.55
